Source,Device,Country,PreviousDonor,Wikipedia_use,Regular_user,Rely_on_Wikipedia,Since_message,Support_free_knowledge,Ad_free,Stay_Online,Support_charity,Support_volunteers,Like_privacy,Is_wp_nonprofit,Seen_messages,Morebanners_lessmoney,Too_many_banners,Enjoy_banners,Infrequent,Less_naggy,Don’t_mind_banners,Annoyed,Fundraising_necessary,Donate_other_charities,Trust_in_article,Mobile_purchases,Age,Gender,Legacy
Banner,A desktop or laptop computer,Australia,Yes,Several times a week,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,Yes,I haven't seen one this year,Agree,Disagree,Agree,Agree,Don't know,Agree,Disagree,Agree,Yes,References,No,50-59,Female,No thank you
Banner,A desktop or laptop computer,Australia,No,A few times a month,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,No,This was the first time I saw the message,Don't know,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,Topic,Yes,Under 18,Female,No thank you
Banner,A desktop or laptop computer,Australia,No,Several times a week,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,I haven't seen one this year,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,18-29,Male,No thank you
Banner,A desktop or laptop computer,Australia,No,Several times a week,Absolutely,Somewhat,Not at all,Absolutely,Absolutely,Absolutely,Not at all,Somewhat,Not at all,Yes,2-3 times,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,No,References,No,30-39,Male,No thank you
Banner,A desktop or laptop computer,Australia,No,Daily,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Somewhat,Yes,4-9 times,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,30-39,Male,No thank you
Banner,A desktop or laptop computer,Australia,No,Several times a day,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,This was the first time I saw the message,Don't know,Disagree,Agree,Don't know,Agree,Agree,Disagree,Agree,No,Presentation,Yes,Under 18,Male,No thank you
Banner,A desktop or laptop computer,Australia,Yes,Several times a week,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,Yes,2-3 times,Disagree,Disagree,Agree,Disagree,Don't know,Agree,Disagree,Agree,Yes,References,Yes,18-29,Female,No thank you
Banner,A desktop or laptop computer,Australia,Yes,Several times a week,Absolutely,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Yes,2-3 times,Don't know,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,No,30-39,Female,No thank you
Banner,A desktop or laptop computer,Australia,Yes,Several times a day,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,10-15 times,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,30-39,Male,No thank you
Banner,A desktop or laptop computer,Australia,Yes,Several times a day,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,2-3 times,Disagree,Don't know,Disagree,Don't know,Don't know,Agree,Disagree,Agree,Yes,Community,Yes,60-69,Male,No thank you
Banner,A desktop or laptop computer,Australia,Yes,Several times a day,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Not at all,Yes,2-3 times,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,No,Community,No,30-39,Male,No thank you
Banner,A desktop or laptop computer,Australia,Yes,Several times a week,Absolutely,Somewhat,Not at all,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,Not sure,Don't know,Don't know,Disagree,Don't know,Agree,Agree,Don't know,Agree,Yes,References,Yes,18-29,Male,No thank you
Banner,A desktop or laptop computer,Australia,Yes,Several times a day,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,I haven't seen one this year,Don't know,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,50-59,Female,No thank you
Banner,A desktop or laptop computer,Australia,Yes,Several times a day,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,This was the first time I saw the message,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,50-59,Male,No thank you
Banner,A desktop or laptop computer,Australia,Yes,Several times a week,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,I haven't seen one this year,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,70-79,Female,No thank you
Banner,A desktop or laptop computer,Australia,Yes,Monthly,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,2-3 times,Don't know,Disagree,Agree,Agree,Agree,Agree,Don't know,Agree,No,References,Yes,40-49,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Daily,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,Not sure,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,50-59,Male,"Yes, Iâ€™m interested; hereâ€™s my email address:"
Banner,A desktop or laptop computer,Canada,Yes,Daily,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,No,2-3 times,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,Presentation,Yes,60-69,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Daily,Absolutely,Absolutely,Somewhat,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Somewhat,Yes,4-9 times,Don't know,Agree,Disagree,Disagree,Don't know,Don't know,Agree,Agree,Yes,References,Yes,18-29,Female,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a week,Somewhat,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Somewhat,Somewhat,Absolutely,Yes,4-9 times,Don't know,Disagree,Agree,Don't know,Agree,Agree,Disagree,Agree,Yes,Presentation,Yes,40-49,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Daily,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,2-3 times,Don't know,Disagree,Agree,Disagree,Don't know,Agree,Disagree,Agree,Yes,References,No,50-59,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a day,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,Yes,2-3 times,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,No,References,Yes,50-59,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a week,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,Yes,Not sure,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,50-59,Male,No thank you
Banner,A desktop or laptop computer,Canada,No,A few times a month,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,4-9 times,Disagree,Disagree,Agree,Agree,Don't know,Agree,Disagree,Agree,No,References,No,80+,Male,No thank you
Banner,A desktop or laptop computer,Canada,No,A few times a month,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,No,I haven't seen one this year,Don't know,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,60-69,Male,No thank you
Banner,A desktop or laptop computer,Canada,No,Daily,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,This was the first time I saw the message,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,No,Presentation,Yes,Under 18,Female,"Yes, Iâ€™m interested; hereâ€™s my email address:"
Banner,A desktop or laptop computer,Canada,No,Daily,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,No,This was the first time I saw the message,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Don't know,No,Presentation,No,Under 18,Male,"Yes, Iâ€™m interested; hereâ€™s my email address:"
Banner,A desktop or laptop computer,Canada,No,Daily,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,This was the first time I saw the message,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,References,Yes,30-39,Male,No thank you
Banner,A desktop or laptop computer,Canada,No,Less than once a month,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,Yes,This was the first time I saw the message,Don't know,Don't know,Agree,Don't know,Agree,Don't know,Disagree,Agree,No,References,Yes,50-59,Female,No thank you
Banner,A desktop or laptop computer,Canada,No,Several times a day,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Somewhat,Absolutely,Yes,4-9 times,Don't know,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,Length,Yes,18-29,Male,No thank you
Banner,A desktop or laptop computer,Canada,No,Several times a day,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,No,This was the first time I saw the message,Don't know,Disagree,Agree,Agree,Don't know,Agree,Disagree,Agree,Yes,References,Yes,18-29,Male,No thank you
Banner,A desktop or laptop computer,Canada,No,Several times a day,Absolutely,Absolutely,Somewhat,Somewhat,Absolutely,Absolutely,Not at all,Not at all,Absolutely,Yes,2-3 times,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Don't know,Yes,Presentation,No,18-29,Male,No thank you
Banner,A desktop or laptop computer,Canada,No,Several times a day,Absolutely,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Somewhat,Yes,Not sure,Agree,Don't know,Agree,Don't know,Agree,Agree,Disagree,Agree,Yes,References,Yes,70-79,Male,No thank you
Banner,A desktop or laptop computer,Canada,No,Several times a week,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,2-3 times,Agree,Disagree,Don't know,Disagree,Agree,Agree,Disagree,Agree,Yes,Presentation,Yes,30-39,Female,No thank you
Banner,A desktop or laptop computer,Canada,No,Several times a week,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Yes,2-3 times,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,Length,Yes,60-69,Male,No thank you
Banner,A desktop or laptop computer,Canada,No,Several times a week,Absolutely,Somewhat,Not at all,Somewhat,Absolutely,Somewhat,Somewhat,Somewhat,Somewhat,Yes,4-9 times,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,References,Yes,40-49,Male,No thank you
Banner,A desktop or laptop computer,Canada,No,Several times a week,Absolutely,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,Not sure,Don't know,Disagree,Don't know,Don't know,Agree,Don't know,Disagree,Don't know,No,References,No,70-79,Male,No thank you
Banner,A desktop or laptop computer,Canada,No,Several times a week,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,2-3 times,Don't know,Don't know,Don't know,Don't know,Agree,Agree,Disagree,Agree,No,References,Yes,60-69,Male,No thank you
Banner,A desktop or laptop computer,Canada,No,Weekly,Somewhat,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Somewhat,Somewhat,Absolutely,Yes,I haven't seen one this year,Agree,Don't know,Agree,Don't know,Don't know,Don't know,Disagree,Don't know,Yes,References,No,60-69,Female,No thank you
Banner,A desktop or laptop computer,Canada,No,Daily,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,4-9 times,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Yes,Presentation,Yes,60-69,Male,No thank you
Banner,A desktop or laptop computer,Canada,No,Several times a day,Absolutely,Somewhat,Not at all,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Not at all,Yes,2-3 times,Don't know,Disagree,Don't know,Agree,Agree,Agree,Disagree,Don't know,Yes,Length,Yes,30-39,Female,No thank you
Banner,A desktop or laptop computer,Canada,No,Several times a day,Absolutely,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Absolutely,Yes,2-3 times,Disagree,Disagree,Disagree,Agree,Don't know,Agree,Disagree,Agree,No,Presentation,No,18-29,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Daily,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,Not sure,Disagree,Disagree,Agree,Don't know,Agree,Agree,Disagree,Agree,Yes,References,No,70-79,Female,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a day,Absolutely,Absolutely,Not at all,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Somewhat,Yes,Not sure,Disagree,Disagree,Disagree,Agree,Don't know,Agree,Disagree,Agree,Yes,Topic,No,60-69,Male,No thank you
Banner,A desktop or laptop computer,Canada,Yes,Several times a day,Absolutely,Absolutely,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,I haven't seen one this year,Disagree,Disagree,Don't know,Agree,Agree,Agree,Disagree,Agree,No,References,Yes,30-39,Male,"Yes, Iâ€™m interested; hereâ€™s my email address:"
Banner,A desktop or laptop computer,Canada,No,A few times a month,Somewhat,Somewhat,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Absolutely,Yes,2-3 times,Agree,Disagree,Don't know,Agree,Agree,Don't know,Don't know,Agree,Yes,References,No,50-59,Male,No thank you
